title,image,date,author,content,source_link
"Recognizing Warning Signs",newsimg1.jpg,"2024-03-20",Admin,"A heart attack occurs when blood flow to the heart muscle is blocked, leading to potential damage. Recognizing early signs is crucial for timely intervention.","#"
"Understanding Symptoms",newsimg2.jpg,"2024-03-20",Admin,"Common symptoms include chest pain, shortness of breath, and discomfort in the upper body. Being aware of these can aid in early detection.","#"
"Emergency Response",newsimg3.jpg,"2024-03-20",Admin,"Immediate action can save lives. Calling emergency services and administering CPR are vital steps in response to a heart attack.","#"
"Surprising Heart Attack Symptoms",newsimg4.jpg,"2025-02-03",Admin,"Heart attack symptoms can be subtle and unexpected, including dental issues, which could signal a heart problem.","https://nypost.com/2025/02/03/health/surprising-symptoms-and-warning-signs-of-a-heart-attack/"
"Delayed Response to Heart Attack",newsimg5.jpg,"2025-02-13",Admin,"A mother died after an ambulance, which was only six minutes from her home, was canceled by a clinical supervisor.","https://www.thesun.ie/health/14712524/mum-dies-ambulance-cancelled/"
"Heart Health Awareness",newsimg6.jpg,"2024-12-24",Admin,"Singer Max George of The Wanted, aged 36, was recently diagnosed with a '2:1 heart block' after being hospitalized for feeling generally unwell.","https://www.thescottishsun.co.uk/health/14055483/heart-health-wanted-max-george-chest-pain/"
"Misinterpreting Heart Attack Symptoms",newsimg7.jpg,"2024-11-15",Admin,"A 32-year-old woman unknowingly experienced early warning signs of a heart attack when she felt the urge to crack her back.","https://www.thesun.ie/health/14195593/back-crack-sweating-young-heart-attack-woman/"
"Recognizing Heart Attack Symptoms",newsimg8.jpg,"2024-12-09",Admin,"Heart attack symptoms typically include chest pain, shortness of breath, and arm discomfort, but can also manifest as nausea, fatigue, or dizziness, especially in women.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Unusual Heart Attack Symptoms",newsimg9.jpg,"2024-08-28",Admin,"Heart problems often present subtle symptoms that can be overlooked. Cardiologists highlight nine unusual signs that should never be ignored.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack at a Young Age",newsimg10.jpg,"2024-11-15",Admin,"A 32-year-old woman experienced symptoms of a heart attack, including sweating, arm and back pain, and loss of sensation in her hands.","https://www.thesun.ie/health/14195593/back-crack-sweating-young-heart-attack-woman/"
"Heart Attack Symptoms in Women",newsimg11.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg12.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg13.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg14.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg15.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg16.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg17.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg18.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg19.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg20.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg21.jpg,"2024-12-09",Admin,"Women may experience atypical heart attack symptoms, such as unexplained fatigue, nausea, or severe upper back pain.","https://www.verywellhealth.com/what-does-a-heart-attack-feel-like-8720134"
"Heart Attack Warning Signs",newsimg22.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
"Heart Attack Symptoms in Women",newsimg23.jpg,"2024-12-09",Admin,"Women
"Heart Attack Warning Signs",newsimg22.jpg,"2024-08-28",Admin,"Recognizing the warning signs of a heart attack is crucial. Symptoms can vary and may include chest discomfort, shortness of breath, and nausea.","https://time.com/7014994/heart-attack-symptoms-cardiologist/"
 
